"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PWWP2B",-0.704238999999998,9.1465409,-5.31539699348571,3.26329687177225e-05,0.00372044363937414,2.48874208720299
"STX19",-2.09976824,7.32545629,-5.31485936210225,3.2673003229141e-05,0.00372044363937414,2.48758857382693
"CPA2",-3.9419984,8.93639803,-5.31300748561629,3.28112857912721e-05,0.00372044363937414,2.48361505701796
"POLR2G",0.78074799999999,11.5907723,5.31035664605189,3.30102661947385e-05,0.00372044363937414,2.4779266119857
"CMTM3",1.02936084999999,9.187064075,5.31011364727539,3.30285678325673e-05,0.00372044363937414,2.4774051238432
"LGALS9",-1.01700785,8.475508425,-5.30972406089225,3.30579313949171e-05,0.00372044363937414,2.47656903828216
"NDE1",1.1252454,9.5291074,5.30652140873695,3.33003287270195e-05,0.00372879590003408,2.46969528098957
"SPINK13",-2.46440491,6.179404995,-5.29980398088488,3.38146437361505e-05,0.00376735912700599,2.45527443741553
"C11orf52",-1.2797041,8.81075395,-5.29403008985026,3.42631789709416e-05,0.00377934796499873,2.44287546254656
"HSPB2-C11orf52",-1.2797041,8.81075395,-5.29403008985026,3.42631789709416e-05,0.00377934796499873,2.44287546254656
"COL1A2",1.4765649,13.7411779,5.28348441261586,3.50981024093226e-05,0.00385227736889649,2.42022067190534
"FMN1",-0.89757547,7.258897525,-5.27560694109784,3.57352716329199e-05,0.00390289018410575,2.40329049595301
"CYSTM1",-1.9453827,14.05736025,-5.2702185141163,3.61778858686022e-05,0.00393186229212147,2.3917061363611
"ALDH3A1",-3.91998467,8.136326615,-5.25958787536529,3.7067541200157e-05,0.00400889978511552,2.36884320045361
"SERPINH1",2.34296572,9.04450769,5.24798001574141,3.80644419339569e-05,0.00409008676860992,2.34386569359265
"RUVBL1",1.1873157,9.21422015,5.2465723023102,3.81871796988072e-05,0.00409008676860992,2.34083569978691
"VSTM2A-OT1",-2.13401885,5.135197955,-5.24335967273429,3.84687978292626e-05,0.00409380330973618,2.33392002906725
"SLC9A1",-1.62150077,8.987438715,-5.24197110281299,3.85911727813297e-05,0.00409380330973618,2.33093060644478
"THBS1",1.5622452,11.7354561,5.23979159420367,3.8784052795161e-05,0.00409467254534054,2.3262380047136
"SLC26A7",-3.60983685,7.147055625,-5.22846821537528,3.98020420147779e-05,0.00416726560207743,2.30185062260461
"FNDC1",4.21638099,8.114359265,5.22796878584143,3.98475624753243e-05,0.00416726560207743,2.30077470175468
"ASPN",2.63403625,11.249518225,5.22293098073514,4.0309705543223e-05,0.00419580507792863,2.28992039673089
"ANTXR1",1.57463335,11.546970075,5.21988065718591,4.05921739805214e-05,0.00420546303421561,2.2833470568514
"ACOX3",-1.11091168,8.66563756,-5.21273403987291,4.12618834423528e-05,0.00422628892606961,2.26794280568729
"ETNPPL",-5.1363434002,6.7423481099,-5.20666455027391,4.18394774104916e-05,0.00422628892606961,2.25485637614896
"LUM",1.1653879,13.72017345,5.20583503880633,4.19190530170163e-05,0.00422628892606961,2.25306758983032
"PGA3",-7.97904655,10.871184315,-5.20564895830158,4.19369249801684e-05,0.00422628892606961,2.25266631048917
"PGA4",-7.97904655,10.871184315,-5.20564895830158,4.19369249801684e-05,0.00422628892606961,2.25266631048917
"PGA5",-7.97904655,10.871184315,-5.20564895830158,4.19369249801684e-05,0.00422628892606961,2.25266631048917
"ERN1",-0.966373600000001,10.4066321,-5.19681313984899,4.27945378905734e-05,0.00422721401135765,2.23360819069117
"PRRG1",1.33262869,9.118477105,5.19562604656241,4.2911109918931e-05,0.00422721401135765,2.23104715933639
"PANX1",0.829431950000002,9.901590425,5.19414306088062,4.30571923508009e-05,0.00422721401135765,2.22784758126375
"SFRP4",3.49408908,9.01429046,5.19313458935585,4.31568213207871e-05,0.00422721401135765,2.22567165908528
"TTTY1",-2.05573978,4.91053257,-5.19181943552506,4.32871004360585e-05,0.00422721401135765,2.22283387987834
"TTTY1B",-2.05573978,4.91053257,-5.19181943552506,4.32871004360585e-05,0.00422721401135765,2.22283387987834
"COL3A1",1.14645295,14.554035625,5.19128297130964,4.33403573677613e-05,0.00422721401135765,2.22167627436648
"MARVELD1",1.31840709,8.789907955,5.18996563626444,4.34714173735756e-05,0.00422721401135765,2.21883355583579
"GOT1",-1.2584847,9.69298145,-5.18539495595677,4.39292823400967e-05,0.00423344600523662,2.20896906069822
"HOXA10-HOXA9",2.45828462,6.60788217,5.18362065177891,4.41083409503251e-05,0.00423344600523662,2.20513920200131
"HOXA9",2.45828462,6.60788217,5.18362065177891,4.41083409503251e-05,0.00423344600523662,2.20513920200131
"MAL",-4.10261489,8.221113155,-5.17834734107579,4.46449047115393e-05,0.00425269051100022,2.19375493134641
"RPS6KA6",-1.77680965,6.805219825,-5.17788292656407,4.46924761653986e-05,0.00425269051100022,2.19275220548538
"AEBP1",1.89021355,9.928955075,5.17042617395029,4.54633926110774e-05,0.00428761576166171,2.17664941036794
"TMEM134",-0.831486800000002,9.3420889,-5.16992154940725,4.55160491912063e-05,0.00428761576166171,2.17555948889067
"RAB26",-1.7816401,7.74339765,-5.16873909676148,4.56396788485934e-05,0.00428761576166171,2.17300545580107
"OLFML2B",1.89447058,8.57959937,5.16075693417419,4.64832232647755e-05,0.00432679078403432,2.15576099581486
